# XAU/USD 5分钟现货黄金数据
# 数据源: Twelve Data API
# 获取时间: 2026-02-10 15:48 GMT+8
# 数据范围: 最新10条5分钟K线数据
# 格式: datetime,open,high,low,close

datetime,open,high,low,close
2026-02-10 18:55:00,5033.43124,5034.82210,5029.27025,5033.87301
2026-02-10 18:50:00,5029.57621,5034.73386,5028.83772,5033.10717
2026-02-10 18:45:00,5030.85338,5031.02883,5027.88902,5028.48187
2026-02-10 18:40:00,5027.41995,5030.99718,5027.12177,5030.99718
2026-02-10 18:35:00,5029.48421,5033.38034,5026.61021,5027.37713
2026-02-10 18:30:00,5025.59185,5029.97839,5025.459,5029.71837
2026-02-10 18:25:00,5022.08813,5025.71483,5021.15935,5025.71483
2026-02-10 18:20:00,5022.73639,5022.73639,5022.73639,5022.73639
2026-02-10 18:15:00,5023.49671,5028.78144,5023.49671,5028.78144
2026-02-10 18:10:00,5028.34023,5028.34023,5028.34023,5028.34023

# 数据说明
# 最新价格: 5033.87301 (18:55 GMT)
# 价格变化: 从15:00的5024.32上涨至5033.87 (+9.55点)
# 市场状态: 反弹突破5,030，重回5,033上方
# API状态: Twelve Data API工作正常，数据实时更新
# 更新时间: 2026-02-10 16:00 GMT+8 (包含16:00最新数据)
