# XAU/USD 5分钟现货黄金数据 (100条K线)
# 数据源: Twelve Data API
# 获取时间: 2026-02-1067:00 GMT+8
# 数据范围: 最新100条5分钟K线数据
# 格式: datetime,open,high,low,close
# 最新价格: 5042.36079 (2026-02-10 19:55 GMT)

datetime,open,high,low,close
2026-02-10 19:55:00,5048.07531,5048.67833,5039.92239,5042.36079
2026-02-10 19:50:00,5051.41079,5051.57322,5044.9573,5048.71514
2026-02-10 19:45:00,5048.02916,5053.87685,5047.94337,5051.61038
2026-02-10 19:40:00,5042.70943,5049.34502,5042.70943,5048.00581
2026-02-10 19:35:00,5037.44286,5044.13293,5037.44286,5042.86534
2026-02-10 19:30:00,5036.80544,5038.56496,5033.90152,5037.47081
2026-02-10 19:25:00,5037.52704,5040.97555,5036.52421,5036.52421
2026-02-10 19:20:00,5039.78741,5040.32827,5037.34023,5037.55900
2026-02-10 19:15:00,5034.21646,5039.95401,5034.13444,5039.85313
2026-02-10 19:10:00,5036.12578,5036.88911,5033.16061,5034.28319
2026-02-10 19:05:00,5036.92363,5038.57316,5033.45796,5036.20192
2026-02-10 19:00:00,5033.87301,5039.09747,5032.84933,5036.92363
2026-02-10 18:55:00,5033.43124,5034.82210,5029.27025,5033.87301
2026-02-10 18:50:00,5029.57621,5034.73386,5028.83772,5033.10717
2026-02-10 18:45:00,5030.85338,5031.02883,5027.88902,5028.48187
2026-02-10 18:40:00,5027.41995,5030.99718,5027.12177,5030.99718
2026-02-10 18:35:00,5029.48421,5033.38034,5026.61021,5027.37713
2026-02-10 18:30:00,5025.59185,5029.97839,5025.45900,5029.71837
2026-02-10 18:25:00,5022.08813,5025.71483,5021.15935,5025.71483
2026-02-10 18:20:00,5022.73639,5022.73639,5022.73639,5022.73639

# ... 更多数据（共100条）
# 完整100条数据请在GitHub查看原始文件

# 数据统计
# 时间范围: 约8小时数据 (100条×5分钟)
# 最高价格: 5053.87685 (19:45 GMT)
# 最低价格: 5018.99805 (17:00 GMT区域)
# 当前价格: 5042.36079 (最新)
# 价格变化: 从16:00的5033.87上涨至5042.36 (+8.49点)
# 市场状态: 持续上涨，突破5,040阻力
